Make,Chevrolet,,Make,Toyota,,"Ho: ?1 - ?2 = 0
Ha: ?1 - ?2 ? 0",,,,,,
,,,,,,,,,,,,
Row Labels,Sum of Annual Fuel Cost (FT1),,Row Labels,Sum of Annual Fuel Cost (FT1),,,,,,,,
989,"$2,200",,3324,"$1,350",,,,,,,,
990,"$2,350",,3325,"$1,300",,,,,,,,
991,"$2,900",,3326,"$1,200",,,,,,,,
992,"$2,500",,3327,"$2,350",,,,,,,,
993,"$2,700",,3328,"$2,250",,,,,,,,
994,"$2,150",,3530,"$1,450",,,,,,,,
995,"$2,250",,3531,"$1,350",,,,,,,,
996,"$3,200",,3532,"$1,350",,,,,,,,
1034,"$2,500",,3533,"$1,250",,,,,,,,
1035,"$2,700",,3534,"$1,600",,,,,,,,
1036,"$2,150",,3535,"$1,400",,,,,,,,
1037,"$1,750",,3583,"$2,350",,,,,,,,
1038,"$1,650",,3640,"$1,650",,,,,,,,
1039,"$1,600",,3641,"$1,750",,,,,,,,
1040,"$1,950",,3642,"$1,500",,,,,,,,
1041,"$1,850",,3643,"$1,400",,,,,,,,
1042,"$1,950",,3644,"$1,650",,,,,,,,
1079,"$2,700",,3645,"$1,650",,,,,,,,
1080,"$2,500",,3646,"$1,650",,,,,,,,
1081,"$2,250",,3647,"$1,750",,,,,,,,
1082,"$2,900",,3648,"$1,500",,,,,,,,
1083,"$3,200",,3758,"$1,650",,,,,,,,
1084,"$2,400",,3759,"$1,500",,,,,,,,
1085,"$1,850",,3847,"$1,850",,,,,,,,
1086,"$1,750",,3848,"$1,950",,,,,,,,
1087,"$1,650",,3849,"$1,850",,,,,,,,
1088,"$1,950",,3850,"$1,950",,,,,,,,
1089,"$2,050",,3851,"$1,750",,,,,,,,
1090,"$2,200",,3914,"$1,850",,,,,,,,
1155,"$2,050",,3915,"$1,750",,,,,,,,
1156,"$2,700",,3916,"$1,950",,,,,,,,
1157,"$2,700",,3917,"$1,850",,,,,,,,
1182,"$1,850",,3961,"$1,850",,,,,,,,
1183,"$1,950",,3962,"$1,750",,,,,,,,
1184,"$2,050",,3963,"$1,950",,,,,,,,
1185,"$1,600",,3964,"$1,850",,,,,,,,
1186,"$1,400",,4101,"$3,200",,,,,,,,
1187,"$1,450",,4102,"$2,200",,,,,,,,
1188,"$1,850",,4103,"$1,950",,,,,,,,
1189,"$1,950",,4104,"$1,850",,,,,,,,
1190,"$1,400",,4115,"$2,900",,,,,,,,
1191,"$1,350",,4116,"$2,350",,,,,,,,
1192,"$1,350",,4157,"$1,450",,,,,,,,
1280,"$1,600",,4158,"$1,900",,,,,,,,
1281,"$1,400",,4159,"$1,400",,,,,,,,
1282,"$1,450",,4160,"$1,850",,,,,,,,
1283,"$1,950",,4178,"$1,400",,,,,,,,
1284,"$1,950",,4179,"$1,400",,,,,,,,
1336,"$1,850",,4334,"$1,600",,,,,,,,
1337,"$1,500",,4335,"$1,400",,,,,,,,
1338,"$1,850",,4336,"$2,250",,,,,,,,
1339,"$1,950",,4337,"$1,400",,,,,,,,
1340,"$1,850",,4338,"$1,600",,,,,,,,
1341,"$2,200",,4339,"$1,400",,,,,,,,
1342,"$2,050",,4340,"$1,350",,,,,,,,
1401,"$1,950",,4341,"$1,250",,,,,,,,
1402,"$1,950",,4342,"$1,450",,,,,,,,
1403,"$2,050",,4343,"$1,400",,,,,,,,
1413,"$1,600",,4344,"$1,200",,,,,,,,
1414,"$1,400",,4345,"$1,500",,,,,,,,
1415,"$1,450",,4346,"$1,450",,,,,,,,
1416,"$1,850",,4347,"$2,350",,,,,,,,
1417,"$1,950",,4348,"$2,350",,,,,,,,
1447,"$1,850",,4349,"$2,350",,,,,,,,
1448,"$1,500",,4350,"$2,350",,,,,,,,
1473,"$2,200",,4351,"$1,350",,,,,,,,
1476,"$1,450",,4352,"$1,200",,,,,,,,
1477,"$1,450",,4353,"$1,200",,,,,,,,
1478,"$1,850",,4354,"$1,050",,,,,,,,
1479,"$1,850",,4510,"$1,450",,,,,,,,
1480,"$1,850",,4511,"$1,400",,,,,,,,
1512,"$2,200",,4512,"$1,650",,,,,,,,
1513,"$2,200",,4513,"$1,400",,,,,,,,
1514,"$2,200",,4514,"$1,850",,,,,,,,
1515,"$2,500",,4515,"$1,850",,,,,,,,
1516,"$2,050",,4516,"$2,350",,,,,,,,
1517,"$2,900",,4703,"$1,450",,,,,,,,
1518,"$2,250",,4704,"$1,400",,,,,,,,
1519,"$2,050",,4705,"$1,850",,,,,,,,
1520,"$1,950",,4706,"$1,500",,,,,,,,
1521,"$2,200",,4707,"$1,600",,,,,,,,
1544,"$2,350",,4708,"$1,400",,,,,,,,
1545,"$2,700",,4709,"$1,250",,,,,,,,
1546,"$2,900",,4710,"$1,600",,,,,,,,
1547,"$2,050",,4711,"$1,400",,,,,,,,
1548,"$2,050",,4809,"$1,600",,,,,,,,
1549,"$1,950",,4810,"$1,750",,,,,,,,
1567,"$1,750",,4811,"$1,750",,,,,,,,
1568,"$2,050",,4812,"$1,750",,,,,,,,
1569,"$2,200",,4813,"$1,750",,,,,,,,
1570,"$2,050",,4814,"$1,850",,,,,,,,
1571,"$2,350",,4815,"$1,600",,,,,,,,
1572,"$2,350",,4916,"$1,750",,,,,,,,
1573,"$2,350",,4917,"$1,950",,,,,,,,
1574,"$2,500",,5018,"$2,050",,,,,,,,
1595,"$1,750",,5019,"$1,750",,,,,,,,
1596,"$2,200",,5020,"$2,350",,,,,,,,
1597,"$2,350",,5021,"$2,200",,,,,,,,
1598,"$2,200",,5073,"$1,750",,,,,,,,
1599,"$2,350",,5074,"$1,750",,,,,,,,
1600,"$2,500",,5075,"$1,950",,,,,,,,
1601,"$2,900",,5076,"$1,850",,,,,,,,
1602,"$2,150",,5114,"$1,750",,,,,,,,
1603,"$3,200",,5115,"$1,750",,,,,,,,
1620,"$2,900",,5116,"$1,950",,,,,,,,
1621,"$2,150",,5117,"$1,850",,,,,,,,
1622,"$1,750",,5221,"$2,900",,,,,,,,
1623,"$1,850",,5222,"$2,200",,,,,,,,
1624,"$1,850",,5223,"$1,850",,,,,,,,
1625,"$1,850",,5224,"$2,350",,,,,,,,
1643,"$2,900",,5225,"$2,200",,,,,,,,
1644,"$2,400",,5237,"$2,900",,,,,,,,
1645,"$2,900",,5238,"$2,500",,,,,,,,
1646,"$2,400",,5280,"$1,450",,,,,,,,
1647,"$2,050",,5281,"$1,900",,,,,,,,
1648,"$2,200",,5282,"$1,850",,,,,,,,
1649,"$2,050",,5283,"$1,400",,,,,,,,
1684,"$2,500",,5298,"$1,400",,,,,,,,
1692,"$1,950",,5299,"$1,400",,,,,,,,
1693,"$1,950",,5477,"$1,600",,,,,,,,
1694,"$1,950",,5478,"$1,400",,,,,,,,
1695,"$1,950",,5479,"$2,250",,,,,,,,
1728,"$1,000",,5480,"$1,400",,,,,,,,
1729,$850,,5481,"$1,600",,,,,,,,
1730,$750,,5482,"$1,400",,,,,,,,
1755,"$1,450",,5483,"$1,350",,,,,,,,
1756,"$1,750",,5484,"$1,250",,,,,,,,
1757,"$1,950",,5485,"$1,500",,,,,,,,
1758,"$1,950",,5486,"$1,600",,,,,,,,
1759,"$1,950",,5487,"$1,400",,,,,,,,
1760,"$1,950",,5488,"$2,350",,,,,,,,
1761,"$1,600",,5489,"$2,350",,,,,,,,
1762,"$1,400",,5490,"$2,500",,,,,,,,
1763,"$1,450",,5491,"$2,350",,,,,,,,
